,Articles / class,Split (%),Train data / class,Test data / class,Amount of words,RemoveUnfrequent,Unfrequency,RemoveTopFrequents,UseStemmer,StartingArticleIndex,FinanceSucces,FinanceSucces (%),SportsSucces,SportsSucces (%),TechnologySucces,TechnologySucces (%),EntertainmentSucces,EntertainmentSucces (%),Total Succes (%),Total succes (%) with point,,
0,20.0,80.0,16.0,4.0,4933,0.0,1.0,0.0,0.0,0.0,"4,00",100,2,50,0,0,4,100,"62,5",62.5,"62.5,37.5,56.25,50,50,50,50,37.5,37.5,43.75,37.5,43.75,56.25,50,62.5,31.25,50,37.5,68.75,62.5","189,0625"
1,20.0,80.0,16.0,4.0,5371,0.0,1.0,0.0,0.0,20.0,"1,00",25,4,100,0,0,1,25,"37,5",37.5,,"126,5625"
2,20.0,80.0,16.0,4.0,4393,0.0,1.0,0.0,0.0,40.0,"1,00",25,4,100,1,25,3,75,"56,25",56.25,,"56,25"
3,20.0,80.0,16.0,4.0,5305,0.0,1.0,0.0,0.0,60.0,"0,00",0,4,100,3,75,1,25,50,50,,"1,5625"
4,20.0,80.0,16.0,4.0,4169,0.0,1.0,0.0,0.0,80.0,"3,00",75,4,100,0,0,1,25,50,50,,"1,5625"
5,20.0,80.0,16.0,4.0,5856,0.0,1.0,0.0,0.0,100.0,"2,00",50,4,100,2,50,0,0,50,50,,"1,5625"
6,20.0,80.0,16.0,4.0,4943,0.0,1.0,0.0,0.0,120.0,"3,00",75,4,100,1,25,0,0,50,50,,"1,5625"
7,20.0,80.0,16.0,4.0,5337,0.0,1.0,0.0,0.0,140.0,"0,00",0,4,100,0,0,2,50,"37,5",37.5,,"126,5625"
8,20.0,80.0,16.0,4.0,5368,0.0,1.0,0.0,0.0,160.0,"0,00",0,4,100,2,50,0,0,"37,5",37.5,,"126,5625"
9,20.0,80.0,16.0,4.0,4831,0.0,1.0,0.0,0.0,180.0,"0,00",0,2,50,3,75,2,50,"43,75",43.75,,25
10,20.0,80.0,16.0,4.0,6081,0.0,1.0,0.0,0.0,200.0,"2,00",50,4,100,0,0,0,0,"37,5",37.5,,"126,5625"
11,20.0,80.0,16.0,4.0,5294,0.0,1.0,0.0,0.0,220.0,"2,00",50,4,100,0,0,1,25,"43,75",43.75,,25
12,20.0,80.0,16.0,4.0,5478,0.0,1.0,0.0,0.0,240.0,"2,00",50,3,75,4,100,0,0,"56,25",56.25,,"56,25"
13,20.0,80.0,16.0,4.0,5483,0.0,1.0,0.0,0.0,260.0,"0,00",0,4,100,3,75,1,25,50,50,,"1,5625"
14,20.0,80.0,16.0,4.0,5336,0.0,1.0,0.0,0.0,280.0,"4,00",100,3,75,0,0,3,75,"62,5",62.5,,"189,0625"
15,20.0,80.0,16.0,4.0,4520,0.0,1.0,0.0,0.0,300.0,"1,00",25,4,100,0,0,0,0,"31,25",31.25,,"306,25"
16,20.0,80.0,16.0,4.0,5367,0.0,1.0,0.0,0.0,320.0,"2,00",50,4,100,1,25,1,25,50,50,,"1,5625"
17,20.0,80.0,16.0,4.0,6036,0.0,1.0,0.0,0.0,340.0,"2,00",50,4,100,0,0,0,0,"37,5",37.5,,"126,5625"
18,20.0,80.0,16.0,4.0,5313,0.0,1.0,0.0,0.0,360.0,"3,00",75,4,100,2,50,2,50,"68,75",68.75,,400
19,20.0,80.0,16.0,4.0,5284,0.0,1.0,0.0,0.0,380.0,"3,00",75,1,25,4,100,2,50,"62,5",62.5,"10,19344152","189,0625"
20,20.0,80.0,16.0,4.0,"5234,9",5234.9,,,,,"1,75","43,75","3,55","88,75","1,3","32,5","1,2",30,"48,75",48.75,,
21,20.0,80.0,16.0,4.0,3757,0.0,1.0,0.0,1.0,0.0,3,75,2,50,1,25,4,100,"62,5",62.5,"62.5,43.75,62.5,50,50,56.25,43.75,37.5,37.5,50,37.5,50,56.25,43.75,68.75,43.75,56.25,37.5,68.75,56.25","141,015625"
22,20.0,80.0,16.0,4.0,4068,0.0,1.0,0.0,1.0,20.0,1,25,4,100,1,25,1,25,"43,75",43.75,,"47,265625"
